model,model_slug,cell_id,modality,focus,budget_tokens,is_baseline,doc_index,runs,ok_runs,span_f1_mean,span_f1_std,exact_match_mean,exact_match_std,mc_accuracy_mean,mc_accuracy_std,abstention_rate_mean,abstention_rate_std,hallucination_rate_mean,hallucination_rate_std,wrong_doc_rate_mean,wrong_doc_rate_std,answered_positive_rate_mean,answered_positive_rate_std,latency_mean,prompt_tokens_mean,cost_mean
deepseek-flash,deepseek/deepseek-v4-flash,d020_confusion_b256000,confusion,spans,256000,False,20,1,1,0.8153,0.0,0.7333,0.0,,,0.7647,0.0,0.2353,0.0,0.0,0.0,0.9333,0.0,67.959,229217,0.0167
deepseek-flash,deepseek/deepseek-v4-flash,d020_confusion_b512000,confusion,spans,512000,False,20,1,1,0.7463,0.0,0.5333,0.0,,,0.7059,0.0,0.2941,0.0,0.0,0.0,0.9333,0.0,78.106,443469,0.0283
deepseek-flash,deepseek/deepseek-v4-flash,d020_confusion_b64000,confusion,spans,64000,False,20,1,1,0.6528,0.0,0.4,0.0,,,0.6471,0.0,0.3529,0.0,0.0,0.0,0.8667,0.0,43.339,66803,0.0135
deepseek-flash,deepseek/deepseek-v4-flash,d020_rot_b128000,rot,spans,128000,False,20,1,1,0.7679,0.0,0.6,0.0,,,0.7059,0.0,0.2941,0.0,0.0,0.0,0.9333,0.0,42.087,153438,0.0222
deepseek-flash,deepseek/deepseek-v4-flash,d020_rot_b256000,rot,spans,256000,False,20,1,1,0.7864,0.0,0.6667,0.0,,,0.5882,0.0,0.4118,0.0,0.0,0.0,0.8667,0.0,58.236,288138,0.0202
deepseek-flash,deepseek/deepseek-v4-flash,d020_rot_b512000,rot,spans,512000,False,20,1,1,0.7245,0.0,0.5333,0.0,,,0.7059,0.0,0.2941,0.0,0.0,0.0,0.9333,0.0,78.992,562755,0.0368
deepseek-flash,deepseek/deepseek-v4-flash,d020_rot_b64000,rot,spans,64000,False,20,1,1,0.4862,0.0,0.0667,0.0,,,0.5882,0.0,0.4118,0.0,0.0,0.0,0.8667,0.0,98.235,82969,0.0081
deepseek-flash,deepseek/deepseek-v4-flash,d028_baseline,baseline,spans,0,True,28,1,1,0.6755,0.0,0.4286,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.7857,0.0,37.948,18192,0.0025
deepseek-flash,deepseek/deepseek-v4-flash,d028_confusion_b128000,confusion,spans,128000,False,28,1,1,0.6403,0.0,0.3571,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.7857,0.0,250.119,125712,0.0176
deepseek-flash,deepseek/deepseek-v4-flash,d028_confusion_b256000,confusion,spans,256000,False,28,1,1,0.5647,0.0,0.0714,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.7143,0.0,46.39,235049,0.0239
deepseek-flash,deepseek/deepseek-v4-flash,d028_confusion_b512000,confusion,spans,512000,False,28,1,1,0.676,0.0,0.4286,0.0,,,0.8889,0.0,0.1111,0.0,0.0,0.0,0.7857,0.0,118.782,444594,0.0443
deepseek-flash,deepseek/deepseek-v4-flash,d028_confusion_b64000,confusion,spans,64000,False,28,1,1,0.6487,0.0,0.3571,0.0,,,0.8889,0.0,0.1111,0.0,0.0,0.0,0.7857,0.0,32.903,70430,0.0078
deepseek-flash,deepseek/deepseek-v4-flash,d028_rot_b128000,rot,spans,128000,False,28,1,1,0.5303,0.0,0.2143,0.0,,,0.7778,0.0,0.2222,0.0,0.0,0.0,0.7143,0.0,391.561,155046,0.0286
deepseek-flash,deepseek/deepseek-v4-flash,d028_rot_b256000,rot,spans,256000,False,28,1,1,0.6174,0.0,0.3571,0.0,,,0.7222,0.0,0.2778,0.0,0.0,0.0,0.7857,0.0,42.192,289021,0.0407
deepseek-flash,deepseek/deepseek-v4-flash,d028_rot_b512000,rot,spans,512000,False,28,1,1,0.4964,0.0,0.2857,0.0,,,0.7222,0.0,0.2778,0.0,0.0,0.0,0.7143,0.0,106.603,564132,0.0567
deepseek-flash,deepseek/deepseek-v4-flash,d028_rot_b64000,rot,spans,64000,False,28,1,1,0.7614,0.0,0.5,0.0,,,0.6667,0.0,0.3333,0.0,0.0,0.0,0.9286,0.0,48.188,86032,0.0101
deepseek-flash,deepseek/deepseek-v4-flash,d029_baseline,baseline,spans,0,True,29,1,1,0.9556,0.0,0.8889,0.0,,,0.7826,0.0,0.2174,0.0,0.0,0.0,1.0,0.0,34.005,4274,0.0009
deepseek-flash,deepseek/deepseek-v4-flash,d029_confusion_b128000,confusion,spans,128000,False,29,1,1,0.906,0.0,0.8889,0.0,,,0.7391,0.0,0.2609,0.0,0.0,0.0,1.0,0.0,40.497,111250,0.0077
deepseek-flash,deepseek/deepseek-v4-flash,d029_confusion_b256000,confusion,spans,256000,False,29,1,1,0.8799,0.0,0.2222,0.0,,,0.7826,0.0,0.2174,0.0,0.0,0.0,1.0,0.0,38.63,217772,0.0139
deepseek-flash,deepseek/deepseek-v4-flash,d029_confusion_b512000,confusion,spans,512000,False,29,1,1,0.7906,0.0,0.7778,0.0,,,0.7391,0.0,0.2609,0.0,0.0,0.0,0.8889,0.0,47.283,432137,0.029
deepseek-flash,deepseek/deepseek-v4-flash,d029_confusion_b64000,confusion,spans,64000,False,29,1,1,0.7671,0.0,0.6667,0.0,,,0.7826,0.0,0.2174,0.0,0.0,0.0,0.8889,0.0,27.095,58433,0.007
deepseek-flash,deepseek/deepseek-v4-flash,d029_rot_b128000,rot,spans,128000,False,29,1,1,0.9167,0.0,0.8889,0.0,,,0.7391,0.0,0.2609,0.0,0.0,0.0,1.0,0.0,21.782,141067,0.0203
deepseek-flash,deepseek/deepseek-v4-flash,d029_rot_b256000,rot,spans,256000,False,29,1,1,0.9048,0.0,0.8889,0.0,,,0.7391,0.0,0.2609,0.0,0.0,0.0,1.0,0.0,64.542,276380,0.0384
deepseek-flash,deepseek/deepseek-v4-flash,d029_rot_b512000,rot,spans,512000,False,29,1,1,0.7949,0.0,0.7778,0.0,,,0.7826,0.0,0.2174,0.0,0.0,0.0,0.8889,0.0,573.684,551362,0.0777
deepseek-flash,deepseek/deepseek-v4-flash,d029_rot_b64000,rot,spans,64000,False,29,1,1,0.9048,0.0,0.8889,0.0,,,0.7826,0.0,0.2174,0.0,0.0,0.0,1.0,0.0,38.636,72346,0.0051
deepseek-flash,deepseek/deepseek-v4-flash,d031_baseline,baseline,spans,0,True,31,1,1,0.7451,0.0,0.4167,0.0,,,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,16.188,18450,0.0031
deepseek-flash,deepseek/deepseek-v4-flash,d031_confusion_b128000,confusion,spans,128000,False,31,1,1,0.6598,0.0,0.4167,0.0,,,0.9,0.0,0.1,0.0,0.0,0.0,0.9167,0.0,27.436,126882,0.0189
deepseek-flash,deepseek/deepseek-v4-flash,d031_confusion_b256000,confusion,spans,256000,False,31,1,1,0.5924,0.0,0.4167,0.0,,,0.9,0.0,0.1,0.0,0.0,0.0,0.8333,0.0,53.544,230504,0.0333
deepseek-flash,deepseek/deepseek-v4-flash,d031_confusion_b512000,confusion,spans,512000,False,31,1,1,0.6092,0.0,0.4167,0.0,,,0.9,0.0,0.1,0.0,0.0,0.0,0.8333,0.0,63.555,444049,0.0626
deepseek-flash,deepseek/deepseek-v4-flash,d031_confusion_b64000,confusion,spans,64000,False,31,1,1,0.6525,0.0,0.5,0.0,,,0.9,0.0,0.1,0.0,0.0,0.0,0.8333,0.0,31.612,70696,0.0077
deepseek-flash,deepseek/deepseek-v4-flash,d031_rot_b128000,rot,spans,128000,False,31,1,1,0.7451,0.0,0.4167,0.0,,,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,28.057,154279,0.022
deepseek-flash,deepseek/deepseek-v4-flash,d031_rot_b256000,rot,spans,256000,False,31,1,1,0.7253,0.0,0.5,0.0,,,0.9,0.0,0.1,0.0,0.0,0.0,0.9167,0.0,85.346,293005,0.0399
deepseek-flash,deepseek/deepseek-v4-flash,d031_rot_b512000,rot,spans,512000,False,31,1,1,0.7071,0.0,0.4167,0.0,,,0.9,0.0,0.1,0.0,0.0,0.0,0.9167,0.0,135.436,564184,0.0762
deepseek-flash,deepseek/deepseek-v4-flash,d031_rot_b64000,rot,spans,64000,False,31,1,1,0.6886,0.0,0.4167,0.0,,,0.85,0.0,0.15,0.0,0.0,0.0,0.9167,0.0,17.512,85951,0.009
deepseek-flash,deepseek/deepseek-v4-flash,d036_baseline,baseline,spans,0,True,36,1,1,0.811,0.0,0.5,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,1.0,0.0,36.205,6945,0.0025
deepseek-flash,deepseek/deepseek-v4-flash,d036_confusion_b128000,confusion,spans,128000,False,36,1,1,0.7144,0.0,0.0714,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.9286,0.0,50.152,112824,0.0163
deepseek-flash,deepseek/deepseek-v4-flash,d036_confusion_b256000,confusion,spans,256000,False,36,1,1,0.7807,0.0,0.4286,0.0,,,0.7778,0.0,0.2222,0.0,0.0,0.0,1.0,0.0,35.841,218568,0.0312
deepseek-flash,deepseek/deepseek-v4-flash,d036_confusion_b512000,confusion,spans,512000,False,36,1,1,0.7718,0.0,0.5,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.9286,0.0,84.799,431109,0.0584
deepseek-flash,deepseek/deepseek-v4-flash,d036_confusion_b64000,confusion,spans,64000,False,36,1,1,0.7002,0.0,0.0714,0.0,,,0.8889,0.0,0.1111,0.0,0.0,0.0,0.9286,0.0,29.91,58912,0.0116
deepseek-flash,deepseek/deepseek-v4-flash,d036_rot_b128000,rot,spans,128000,False,36,1,1,0.6053,0.0,0.0,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.9286,0.0,40.696,144300,0.0214
deepseek-flash,deepseek/deepseek-v4-flash,d036_rot_b256000,rot,spans,256000,False,36,1,1,0.7528,0.0,0.3571,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.9286,0.0,85.687,277638,0.0406
deepseek-flash,deepseek/deepseek-v4-flash,d036_rot_b512000,rot,spans,512000,False,36,1,1,0.7037,0.0,0.2857,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,0.9286,0.0,75.529,551084,0.0549
deepseek-flash,deepseek/deepseek-v4-flash,d036_rot_b64000,rot,spans,64000,False,36,1,1,0.7012,0.0,0.0714,0.0,,,0.7778,0.0,0.2222,0.0,0.0,0.0,1.0,0.0,61.599,76104,0.0073
deepseek-flash,deepseek/deepseek-v4-flash,d037_baseline,baseline,spans,0,True,37,1,1,0.8606,0.0,0.2,0.0,,,0.8636,0.0,0.1364,0.0,0.0,0.0,1.0,0.0,38.877,7882,0.0032
deepseek-flash,deepseek/deepseek-v4-flash,d037_confusion_b128000,confusion,spans,128000,False,37,1,1,0.6889,0.0,0.4,0.0,,,0.8636,0.0,0.1364,0.0,0.0,0.0,0.9,0.0,45.529,112230,0.0082
deepseek-flash,deepseek/deepseek-v4-flash,d037_confusion_b256000,confusion,spans,256000,False,37,1,1,0.6699,0.0,0.4,0.0,,,0.9091,0.0,0.0909,0.0,0.0,0.0,0.8,0.0,42.162,221445,0.0223
deepseek-flash,deepseek/deepseek-v4-flash,d037_confusion_b512000,confusion,spans,512000,False,37,1,1,0.7379,0.0,0.1,0.0,,,0.8636,0.0,0.1364,0.0,0.0,0.0,1.0,0.0,107.013,433378,0.062
deepseek-flash,deepseek/deepseek-v4-flash,d037_confusion_b64000,confusion,spans,64000,False,37,1,1,0.7587,0.0,0.7,0.0,,,0.9545,0.0,0.0455,0.0,0.0,0.0,0.9,0.0,15.034,61217,0.009
deepseek-flash,deepseek/deepseek-v4-flash,d037_rot_b128000,rot,spans,128000,False,37,1,1,0.8013,0.0,0.4,0.0,,,0.8636,0.0,0.1364,0.0,0.0,0.0,1.0,0.0,86.37,144196,0.0203
deepseek-flash,deepseek/deepseek-v4-flash,d037_rot_b256000,rot,spans,256000,False,37,1,1,0.5742,0.0,0.2,0.0,,,0.8636,0.0,0.1364,0.0,0.0,0.0,0.9,0.0,83.182,278934,0.0381
deepseek-flash,deepseek/deepseek-v4-flash,d037_rot_b512000,rot,spans,512000,False,37,1,1,0.7971,0.0,0.4,0.0,,,0.8636,0.0,0.1364,0.0,0.0,0.0,1.0,0.0,71.178,555429,0.0789
deepseek-flash,deepseek/deepseek-v4-flash,d037_rot_b64000,rot,spans,64000,False,37,1,1,0.8089,0.0,0.2,0.0,,,0.7727,0.0,0.2273,0.0,0.0,0.0,1.0,0.0,27.966,77132,0.0114
deepseek-flash,deepseek/deepseek-v4-flash,d041_baseline,baseline,spans,0,True,41,1,1,0.8182,0.0,0.5714,0.0,,,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,43.218,7305,0.0018
deepseek-flash,deepseek/deepseek-v4-flash,d041_confusion_b128000,confusion,spans,128000,False,41,1,1,0.8874,0.0,0.7143,0.0,,,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,34.137,111509,0.0116
deepseek-flash,deepseek/deepseek-v4-flash,d041_confusion_b256000,confusion,spans,256000,False,41,1,1,0.6826,0.0,0.2857,0.0,,,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,119.142,213853,0.0076
deepseek-flash,deepseek/deepseek-v4-flash,d041_confusion_b512000,confusion,spans,512000,False,41,1,1,0.8874,0.0,0.7143,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.98,435926,0.0432
deepseek-flash,deepseek/deepseek-v4-flash,d041_confusion_b64000,confusion,spans,64000,False,41,1,1,0.8438,0.0,0.5714,0.0,,,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,28.08,60329,0.0063
deepseek-flash,deepseek/deepseek-v4-flash,d041_rot_b128000,rot,spans,128000,False,41,1,1,0.9609,0.0,0.8571,0.0,,,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,29.804,143468,0.0212
deepseek-flash,deepseek/deepseek-v4-flash,d041_rot_b256000,rot,spans,256000,False,41,1,1,0.7316,0.0,0.2857,0.0,,,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,50.173,279583,0.0195
deepseek-flash,deepseek/deepseek-v4-flash,d041_rot_b512000,rot,spans,512000,False,41,1,1,0.909,0.0,0.7143,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.519,553192,0.0788
deepseek-flash,deepseek/deepseek-v4-flash,d041_rot_b64000,rot,spans,64000,False,41,1,1,0.7817,0.0,0.4286,0.0,,,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,36.313,75632,0.0084
deepseek-flash,deepseek/deepseek-v4-flash,d044_baseline,baseline,spans,0,True,44,1,1,0.475,0.0,0.1667,0.0,,,0.9615,0.0,0.0385,0.0,0.0,0.0,0.8333,0.0,28.64,6331,0.001
deepseek-flash,deepseek/deepseek-v4-flash,d044_confusion_b128000,confusion,spans,128000,False,44,1,1,0.601,0.0,0.3333,0.0,,,0.9231,0.0,0.0769,0.0,0.0,0.0,0.8333,0.0,40.777,113075,0.0118
deepseek-flash,deepseek/deepseek-v4-flash,d044_confusion_b256000,confusion,spans,256000,False,44,1,1,0.5767,0.0,0.3333,0.0,,,0.9231,0.0,0.0769,0.0,0.0,0.0,1.0,0.0,43.093,221178,0.0222
deepseek-flash,deepseek/deepseek-v4-flash,d044_confusion_b512000,confusion,spans,512000,False,44,1,1,0.4705,0.0,0.1667,0.0,,,0.9615,0.0,0.0385,0.0,0.0,0.0,0.8333,0.0,45.881,430431,0.061
deepseek-flash,deepseek/deepseek-v4-flash,d044_confusion_b64000,confusion,spans,64000,False,44,1,1,0.6027,0.0,0.1667,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,25.133,57004,0.0061
deepseek-flash,deepseek/deepseek-v4-flash,d044_rot_b128000,rot,spans,128000,False,44,1,1,0.4618,0.0,0.1667,0.0,,,0.9615,0.0,0.0385,0.0,0.0,0.0,0.8333,0.0,47.03,142681,0.0204
deepseek-flash,deepseek/deepseek-v4-flash,d044_rot_b256000,rot,spans,256000,False,44,1,1,0.405,0.0,0.1667,0.0,,,0.9231,0.0,0.0769,0.0,0.0,0.0,0.8333,0.0,51.932,285139,0.0403
deepseek-flash,deepseek/deepseek-v4-flash,d044_rot_b512000,rot,spans,512000,False,44,1,1,0.5932,0.0,0.3333,0.0,,,0.8846,0.0,0.1154,0.0,0.0,0.0,0.8333,0.0,128.435,550360,0.0547
deepseek-flash,deepseek/deepseek-v4-flash,d044_rot_b64000,rot,spans,64000,False,44,1,1,0.4618,0.0,0.1667,0.0,,,0.9231,0.0,0.0769,0.0,0.0,0.0,0.8333,0.0,16.625,74536,0.0078
deepseek-flash,deepseek/deepseek-v4-flash,d053_baseline,baseline,spans,0,True,53,1,1,0.8333,0.0,0.5,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.522,3241,0.001
deepseek-flash,deepseek/deepseek-v4-flash,d053_confusion_b128000,confusion,spans,128000,False,53,1,1,0.6905,0.0,0.5,0.0,,,0.9667,0.0,0.0333,0.0,0.0,0.0,1.0,0.0,23.437,108277,0.0109
deepseek-flash,deepseek/deepseek-v4-flash,d053_confusion_b256000,confusion,spans,256000,False,53,1,1,0.569,0.0,0.5,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.445,215073,0.0296
deepseek-flash,deepseek/deepseek-v4-flash,d053_confusion_b512000,confusion,spans,512000,False,53,1,1,0.6905,0.0,0.5,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.785,431273,0.0426
deepseek-flash,deepseek/deepseek-v4-flash,d053_confusion_b64000,confusion,spans,64000,False,53,1,1,0.6053,0.0,0.5,0.0,,,0.9667,0.0,0.0333,0.0,0.0,0.0,1.0,0.0,33.394,57259,0.0054
deepseek-flash,deepseek/deepseek-v4-flash,d053_rot_b128000,rot,spans,128000,False,53,1,1,0.6818,0.0,0.5,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.647,139233,0.009
deepseek-flash,deepseek/deepseek-v4-flash,d053_rot_b256000,rot,spans,256000,False,53,1,1,0.6905,0.0,0.5,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.523,274784,0.0388
deepseek-flash,deepseek/deepseek-v4-flash,d053_rot_b512000,rot,spans,512000,False,53,1,1,0.6818,0.0,0.5,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.699,548504,0.0543
deepseek-flash,deepseek/deepseek-v4-flash,d053_rot_b64000,rot,spans,64000,False,53,1,1,0.6905,0.0,0.5,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.305,71189,0.0103
deepseek-flash,deepseek/deepseek-v4-flash,d054_baseline,baseline,spans,0,True,54,1,1,0.6777,0.0,0.5556,0.0,,,0.9565,0.0,0.0435,0.0,0.0,0.0,0.8889,0.0,23.949,4809,0.0018
deepseek-flash,deepseek/deepseek-v4-flash,d054_confusion_b128000,confusion,spans,128000,False,54,1,1,0.635,0.0,0.3333,0.0,,,0.8696,0.0,0.1304,0.0,0.0,0.0,0.8889,0.0,47.686,108729,0.0078
deepseek-flash,deepseek/deepseek-v4-flash,d054_confusion_b256000,confusion,spans,256000,False,54,1,1,0.6751,0.0,0.3333,0.0,,,0.913,0.0,0.087,0.0,0.0,0.0,0.8889,0.0,61.643,219012,0.0222
deepseek-flash,deepseek/deepseek-v4-flash,d054_confusion_b512000,confusion,spans,512000,False,54,1,1,0.4631,0.0,0.1111,0.0,,,0.913,0.0,0.087,0.0,0.0,0.0,0.7778,0.0,102.328,431490,0.0614
deepseek-flash,deepseek/deepseek-v4-flash,d054_confusion_b64000,confusion,spans,64000,False,54,1,1,0.5487,0.0,0.2222,0.0,,,0.8696,0.0,0.1304,0.0,0.0,0.0,0.8889,0.0,49.48,54859,0.0044
deepseek-flash,deepseek/deepseek-v4-flash,d054_rot_b128000,rot,spans,128000,False,54,1,1,0.6531,0.0,0.3333,0.0,,,0.8261,0.0,0.1739,0.0,0.0,0.0,0.8889,0.0,50.76,140478,0.0146
deepseek-flash,deepseek/deepseek-v4-flash,d054_rot_b256000,rot,spans,256000,False,54,1,1,0.687,0.0,0.4444,0.0,,,0.8696,0.0,0.1304,0.0,0.0,0.0,0.8889,0.0,45.952,278600,0.018
deepseek-flash,deepseek/deepseek-v4-flash,d054_rot_b512000,rot,spans,512000,False,54,1,1,0.6889,0.0,0.5556,0.0,,,0.913,0.0,0.087,0.0,0.0,0.0,0.8889,0.0,81.702,548875,0.0745
